Ticket ID,Customer Name,Product Purchased,Ticket Type,Ticket Subject,Ticket Description,Customer Satisfaction Rating
1998,Customer,TMobileHelp,Support inquiry,@116152 @116151 @TMobileHelp @115913 I'm not even a T-Mobile,"CONVERSATION HISTORY:
Customer: Wow!! Honored to be one of @2896’s #TheBraveOnes!!  https://t.co/ORNLBSYzDp
Customer: @115913 @2896 I made a mistake a big dumb mistake. I ported my lines to another service. Less then month ago. I miss T-Mobile. Can I come back and have my formal plan please? Should I talk to @116154 team? Because customer service told me I can’t go to my formal plan.
Agent: @116151 @115913 We'd love to see you back on the UnCarrier. DM us and we'll chat reunion options: https://t.co/cuEwtd2epS *DanKing
Customer: @TMobileHelp @115913 John I try to come back to T-Mobile but they want me to go to the store. Maybe @116154 team can help because customer service want me to go to the stores maybe I just stay will my current service. Don’t seem like u guy want me back
Customer: @TMobileHelp @115913 @116154 Don’t get why they are asking for my password
Agent: @116151 @115913 @116154 I've sent you a DM with some information, let's get this fixed. https://t.co/PbJEgtqanO *JeromyBingham
Customer: @TMobileHelp @115913 @116154 So you @115913 know! been trying to chat but your team is asking for a pin or password I don’t have. Making me feel like you don’t want me back
Agent: @116151 @115913 We absolutely want you back and we will find a solution today. We see your DM, we will be responding https://t.co/PbJEgtqanO *JeromyBingham
Customer: @TMobileHelp @115913 I send DM over to you guys Cassy or Jason were helping me
Agent: @116151 @115913 Thank you so much for the DM. We'll be responding in kind shortly for you! https://t.co/lH0SH5fy2m *MikeRice
Customer: @TMobileHelp @115913 Thanks!
Agent: @116151 @115913 I've got your DM and will reply shortly. Welcome back! *ZachRicketts
Customer: @TMobileHelp @115913 John why I am having so much trouble coming back
Agent: @116151 @115913 Please meet me back in DM, we'll discuss this further. *ZachRicketts
Customer: @TMobileHelp @115913 8 hours total  over 3 days and still working on coming back. Why @115913 ?
Customer: @116151 @TMobileHelp @115913 what is happening in this conversation

CURRENT MESSAGE:
@116152 @116151 @TMobileHelp @115913 I'm not even a T-Mobile customer. And people like this piss me off. Trolling losers.",
2048,Customer,SouthwestAir,Support inquiry,"@SouthwestAir Found it!! But doesn't seem to work, can you c","CONVERSATION HISTORY:
Customer: @SouthwestAir I have two vouchers but can't seem to track down my confirmation numbers. Anyway to look them up? Thanks!
Agent: @116161 Hey, Jennifer. You have two travel funds, correct? Unfortunately, we don't track travel funds. Do you possibly have the emails? ^SL

CURRENT MESSAGE:
@SouthwestAir Found it!! But doesn't seem to work, can you check if funds are available?",
2080,Customer,SouthwestAir,Support inquiry,@SouthwestAir I loved how your employees embraced the day &a,"CONVERSATION HISTORY:
Customer: Me time in the sky... @southwestair https://t.co/ccjl2JCAfK
Agent: @116163 What a relaxing view, Susan! Thanks for sharing the great shot and we hope you enjoy the ride with us today. ^TL

CURRENT MESSAGE:
@SouthwestAir I loved how your employees embraced the day &amp; made@travel fun!  Glad you like the pic. It's my thank you to you all so enjoy!",
2084,Customer,SouthwestAir,Support inquiry,"@SouthwestAir Bummer, might have to watch my back on Nov. 13","CONVERSATION HISTORY:
Customer: Unlucky not to be flying on @SouthwestAir today and have to wait until Nov. 8th. Would have been nice to have had a free drink on flight.
Agent: @116164 Maybe next year? We can't wait to welcome you onboard, Matthew! We hope you have a wonderful flight. ^MK

CURRENT MESSAGE:
@SouthwestAir Bummer, might have to watch my back on Nov. 13 too for Sadie Hawkins day on the airline of LUV. #funnyholidays",
2091,Customer,hulu_support,Support inquiry,"@hulu_support Yes, @hulu_support same message: error playing","CONVERSATION HISTORY:
Customer: @hulu_support I'm getting an error when I try to play episodes. Can you help, please?
Agent: @116166 Still having trouble? Which device are you using? What error are you seeing? We want to help! 1st try: https://t.co/HXpLyTU79x

CURRENT MESSAGE:
@hulu_support Yes, @hulu_support same message: error playing this video, iPhone 7",
2098,Customer,Uber_Support,Support inquiry,@Uber_Support done please check,"CONVERSATION HISTORY:
Customer: kya khassi support hai yaar @Uber_Support. i am an uber rider not driver. they are telling me to take docs to nearby uber office for verification and all i was asked was to update my cellphone number 👺👺
Agent: @116168 Happy to further assist you. Can you please send us a DM with your email address and additional details so we can follow up?

CURRENT MESSAGE:
@Uber_Support done please check",
2105,Customer,sprintcare,Support inquiry,@sprintcare Yes I do. You want me to dm you or just write it,"CONVERSATION HISTORY:
Customer: @177 Have you Pre-Ordered yours yet? 👀
Customer: @115714 @177 I haven’t received no type of new besides my Oder is pending for day.
Agent: @116169 Hello, do you have an order number we can check for you?

CURRENT MESSAGE:
@sprintcare Yes I do. You want me to dm you or just write it on the comments???",
2121,Customer,sprintcare,Support inquiry,"@sprintcare You’re a bunch of crooks, you don’t care about h","CONVERSATION HISTORY:
Customer: @115714 is honestly trash
Agent: @116173 This is concerning. What makes you feel this way? What seems to be the issue? We'll be happy to assist. -JD

CURRENT MESSAGE:
@sprintcare You’re a bunch of crooks, you don’t care about happy customers, y’all just want money, save me the BS",
2130,Customer,Ask_Spectrum,Support inquiry,"@Ask_Spectrum Very disappointing,  to say the least, and una","CONVERSATION HISTORY:
Customer: I've never had a rude cable guy before until forced to switch to @115955 😒 the people on the phone were rude and now this dude?
Agent: @116176 My apologies for any frustrations or poor service you’ve experienced Desiree. Is there anything I may be able to help with? ^AP .
Customer: @Ask_Spectrum No,  it's done now. Just remember to practice kindness with customers please. I don't understand why everyone has been so rude thus far.

CURRENT MESSAGE:
@Ask_Spectrum Very disappointing,  to say the least, and unacceptable in my own home.  I'm still shocked.",
2138,Customer,ChipotleTweets,Support inquiry,@ChipotleTweets We will be back Friday for lunch 👍,"CONVERSATION HISTORY:
Customer: The Wild Thing heard there was a $3 special at @ChipotleTweets 4 👻 Halloween &amp; couldn’t pass it up 

He hopes Chipotle will sponsor his team https://t.co/RkpOQwsVU0
Agent: @116180 Thanks for stopping by! -Becky

CURRENT MESSAGE:
@ChipotleTweets We will be back Friday for lunch 👍",
2143,Customer,ChipotleTweets,Support inquiry,"@ChipotleTweets Chx burrito bowl all the works, bring on the","CONVERSATION HISTORY:
Customer: I'm geekin for sum @ChipotleTweets rightnow🤗😂🥙
Agent: @116182 Welcome to my life. What's your usual order? -Becky

CURRENT MESSAGE:
@ChipotleTweets Chx burrito bowl all the works, bring on the GUAC!!!🤗💖",
2152,Customer,ChipotleTweets,Support inquiry,@ChipotleTweets No worries.  I got my four burrito bowls wit,"CONVERSATION HISTORY:
Customer: No online orders today?  Really @ChipotleTweets ?  .
Agent: @116185 It's our annual Boorito promotion, and we turn it off for the night. My apologies for any frustration. -Becky

CURRENT MESSAGE:
@ChipotleTweets No worries.  I got my four burrito bowls without issue. Lucky me. We beat the lines!",
2183,Customer,ChipotleTweets,Support inquiry,@ChipotleTweets Barbacoa w da guac 🤤😛🔥,"CONVERSATION HISTORY:
Customer: Best part of today are these $3 burritos💀☠️ @ChipotleTweets https://t.co/vW35DKXm9c
Agent: @116197 Truth. What's your go-to order? -Becky

CURRENT MESSAGE:
@ChipotleTweets Barbacoa w da guac 🤤😛🔥",
2203,Customer,ChipotleTweets,Support inquiry,@ChipotleTweets Yes hungry rutgers student ❤️,"CONVERSATION HISTORY:
Customer: Bruh @ChipotleTweets u really just made me pay full price for my burrito I'm tight
Agent: @116205 Did you come dressed in costume? -Tara

CURRENT MESSAGE:
@ChipotleTweets Yes hungry rutgers student ❤️",
2219,Customer,VerizonSupport,Support inquiry,@VerizonSupport Banking. https://t.co/8535p04F9S,"CONVERSATION HISTORY:
Customer: @115725 @VerizonSupport trying to sign up for autopay, your site tells me my checking account # must be min 12 characters. Mine is 9. So???
Agent: @116210 Please verify if this is referring your Verizon account number and not your banking?
^JAY

CURRENT MESSAGE:
@VerizonSupport Banking. https://t.co/8535p04F9S",
2232,Customer,VerizonSupport,Support inquiry,@VerizonSupport Yes it is.,"CONVERSATION HISTORY:
Customer: @115722 I’ve lost my network channels and other channels are glitchy. Need help!
Agent: @116211 We are here to help, is this happening on all your TV's or a specific one?
^ACM
Customer: @VerizonSupport Problem has been consistently happening for about a month
Agent: @116211 Do you know where your ONT is located? The backup battery system address.
^JAY
Customer: @VerizonSupport I’m standing in front of it
Agent: @116211 Press and hold the alarm silence / ONT reboot button for 30 seconds.
^ACM
Customer: @VerizonSupport Ok. Now what?
Agent: @116211 Reboot your router nd thn cable boxes and let us know if the issue clears please. ^RMD
Customer: @VerizonSupport Didn’t work. Channels come up in guide (always have) by tv freezes when changing to anything under 523.
Agent: @116211 Is your router up and working?
^JAY

CURRENT MESSAGE:
@VerizonSupport Yes it is.",
2237,Customer,VerizonSupport,Support inquiry,@VerizonSupport Nevermind I’ll be out of internet til Saturd,"CONVERSATION HISTORY:
Customer: @115722 I have been without internet for two days and y’all gonna tell me to wait til tomorrow
Agent: @116212 Are you back home now? If so, we would be glad to troubleshoot. Feel free to return to our chat.
^HSB
Customer: @VerizonSupport I’m on the phone with your tech now looks like I’ll be another day without internet
Agent: @116212 We understand.
^JAY

CURRENT MESSAGE:
@VerizonSupport Nevermind I’ll be out of internet til Saturday smh",
2242,Customer,AskPlayStation,Support inquiry,@AskPlayStation What do you mean by local user,"CONVERSATION HISTORY:
Customer: @AskPlayStation why is this happening to me and only me? https://t.co/tEfiwmCVhl
Agent: @116213 Hello there. We are unable to see the file you sent us, please provide us more details
Customer: @AskPlayStation Whenever i go to play my game it says im on my old psn account which i deleted of my system. Ive used that account like once before
Agent: @116213 Thanks for the info. Make sure your PSN account has its own local user: https://t.co/p7d3kCczZd

CURRENT MESSAGE:
@AskPlayStation What do you mean by local user",
2248,Customer,AskPlayStation,Support inquiry,@AskPlayStation Thankx,"CONVERSATION HISTORY:
Customer: @AskPlayStation after playing for  a hour, my network on ps4 just drops to 67.9kbps.then I can't play any games(cod black ops3).pls help
Agent: @116214 Hi There! Please power cycle your network devices and try again: https://t.co/Vp85fRXkHX

CURRENT MESSAGE:
@AskPlayStation Thankx",
2253,Customer,AskPlayStation,Support inquiry,@AskPlayStation Creí que lo había hecho. Ahora les vuelvo a ,"CONVERSATION HISTORY:
Customer: @116216 he platinado Horizon Zero Dawn el 1/7/2017 y no he recibido el tema exclusivo vía mail. ¿podrían revisarlo? ID:Rezequiel.
Agent: @116215 Hola Ezequiel! Por favor siguenos en Twitter para poder brindarte asistencia por mensajes directos.

CURRENT MESSAGE:
@AskPlayStation Creí que lo había hecho. Ahora les vuelvo a escribir por privado.",
2264,Customer,AskPlayStation,Support inquiry,@AskPlayStation Pero un cobro con la misma información me lo,"CONVERSATION HISTORY:
Customer: @116216 buenas tardes. Intento comprar por play store y me rechaza las compras
Agent: @116218 Hola!¿Podria decirnos si recibe un codigo de error o algun mensaje?
Customer: @AskPlayStation Si, que la información de la tarjeta es incorrecta, asociada a PayPal, y una de las compras la hice sin problemas, un minuto antes.
Agent: @116218 Revisa el siguiemte enlace para problemas al introducir la información de cobro: https://t.co/qNoFVu2B70

CURRENT MESSAGE:
@AskPlayStation Pero un cobro con la misma información me lo tomo, un minuto después ya no. No es la info de la tarjeta, es un problema del store",
2273,Customer,ATVIAssist,Support inquiry,@ATVIAssist And how come cod ww2 multiplayer servers are act,"CONVERSATION HISTORY:
Customer: @ATVIAssist hey, I have pre ordered ww2 on the Xbox store, how will I receive my cod ww2 2xp and weapon unlock??
Agent: @116222 Hey there, if you pre purchased the game via console store you should be good to go for launch. ^RK
Customer: @ATVIAssist How do I recieve the 2xp and weapon unlock though, is it in my gam ready when I load it up?
Agent: @116222 Please wait until launch, make sure you are on the main account that purchased and owns the content. ^RK

CURRENT MESSAGE:
@ATVIAssist And how come cod ww2 multiplayer servers are active for people who own illegal copies of the game?",
2298,Customer,MicrosoftHelps,Support inquiry,"@MicrosoftHelps Yes, none of it worked. I didn't try the res","CONVERSATION HISTORY:
Customer: I don't recommend upgrading to the Windows 10 Fall Creators update. delay it as much as possible! Start menu quit working after the update.
Customer: @116229 Hell! Could you share with us more details about this issue? We'd like to help, if we can.
Customer: @116230 I've downgraded back to the 1703 build. There are threads on the Microsoft community of multiple people having same issues
Customer: @116229 Gotcha. Have you shared your experience with us on the Feedback Hub? https://t.co/N8dIK5X2nH
Customer: @116230 this thread seems to be where a lot of people are saying they're having issues. https://t.co/DF060SfN68

no one can pin-point the solution.
Agent: @116229 Just to clarify, have your tried following the troubleshooting methods provided by Andre Da Costa on the link you provided?

CURRENT MESSAGE:
@MicrosoftHelps Yes, none of it worked. I didn't try the reset because I don't want to reinstall everything. But when i went back to 1703 everything worked",
2306,Customer,MicrosoftHelps,Support inquiry,"@MicrosoftHelps Thanks for the outstanding assistance, I get","CONVERSATION HISTORY:
Customer: @MicrosoftHelps I got a phone call claiming to be you but I discovered they weren’t. The number is +1(818)930-5703
They tried to bribe me.
Customer: @MicrosoftHelps Please get back to me immediately this is of the upmost importance
Agent: @116231 Hello! It's our utmost pleasure to help. The best way to avoid phone scam is in this link: https://t.co/ZycMz6l77L.
Customer: @MicrosoftHelps Are you trying to help? Because helping would be trying to shut that down. I’m not looking for avoiding I’m looking for you to deal w/ it.
Agent: @116231 Let us guide you to report scams. On the link provided to you. Kindly go to ""How to report tech support scams"".

CURRENT MESSAGE:
@MicrosoftHelps Thanks for the outstanding assistance, I get it, it is your company that takes the heat for these people hurting your rep",
2324,Customer,AdobeCare,Support inquiry,@AdobeCare Sorry you misunderstood! Yes using old catalog bu,"CONVERSATION HISTORY:
Customer: Adobe Lightroom is terrible since updating to CC Classic ! Sony A9 file takes 15sec to load full preview .... #lightroomcc 🤬 https://t.co/gZApJ1z9zn
Agent: @116236 Oh no! It definitely shouldn't be slower- which OS/version are you on? Is this happening with all files? Let us know so we can help ^Madison
Customer: @AdobeCare Yes all files, Mac, El Capitan
Agent: @116236 Hi Paul, Are you facing issue after migrating the Lr catalog to Lightroom CC? Or you have added new images?
^MG
Customer: @AdobeCare Hi apologies for the delay yes it was after migrating to old catalog?
Agent: @116236 Hi Paul, could you please import new images from Sony A9 and then see if the previews still take time to generate.  ^Tanuj

CURRENT MESSAGE:
@AdobeCare Sorry you misunderstood! Yes using old catalog but imported new A9 files ! Still sllllloooooow",
2332,Customer,SW_Help,Support inquiry,@SW_Help That is not what happened.  Or are the platform clo,"CONVERSATION HISTORY:
Customer: The 22.12 @SW_Help train from Clapham Junction to Surbiton left early.  The only train to be early in weeks. Just as annoying.
Agent: @116239 Hi Simon, I am sorry to hear this. As far as I can see this service to schedule. ^JW
Customer: @SW_Help Sorry mean 22:11:41
Agent: @116239 https://t.co/v7yVnq2Pc9 ^JW 2/2

CURRENT MESSAGE:
@SW_Help That is not what happened.  Or are the platform clocks slow.  Look at the CCTV",
2341,Customer,XboxSupport,Support inquiry,@XboxSupport The one you guys give in box at purchase,"CONVERSATION HISTORY:
Customer: A headset should be a simple plug in and go method right? @XboxSupport
Agent: @116241 Hi there! Mind clarifying for us the make/model of the headset that you are using?  ^JA

CURRENT MESSAGE:
@XboxSupport The one you guys give in box at purchase",
2349,Customer,ArgosHelpers,Support inquiry,@ArgosHelpers I bought it in the Arbroath store last week.,"CONVERSATION HISTORY:
Customer: @116245 my £180 Ring doorbell is constantly down. Seems now that every Ring doorbell and camera on earth is down. Refund required.
Agent: @116244 Hi Bernio, Was this purchased in store or home delivered? - Daniel

CURRENT MESSAGE:
@ArgosHelpers I bought it in the Arbroath store last week.",
2354,Customer,ArgosHelpers,Support inquiry,@ArgosHelpers @116247 So if I buy the individual characters ,"CONVERSATION HISTORY:
Customer: @116247 Hi. Am I able to add different characters to this please? https://t.co/imZepbaepE
Agent: @116246 @116247 I'm afraid not, Jenni, this set comes pre-determined -- Mat

CURRENT MESSAGE:
@ArgosHelpers @116247 So if I buy the individual characters they won’t fit?",
2357,Customer,ArgosHelpers,Support inquiry,@ArgosHelpers Fantastic! I don't have a car. Thank you so mu,"CONVERSATION HISTORY:
Customer: @116245 
https://t.co/WEHOSemxpf

Do you know how heavy this is? Do you need a car or can I carry it home?
Agent: @116248 Hi there. It weights just over 15kgs so can be carried. Hope this helps! - Tom

CURRENT MESSAGE:
@ArgosHelpers Fantastic! I don't have a car. Thank you so much, Tom. I hope you have a good shift",
2361,Customer,ArgosHelpers,Support inquiry,@ArgosHelpers In store. I needed it urgently as I have to pr,"CONVERSATION HISTORY:
Customer: Bought an #HPENVY4527 printer 2day: @116245. Waste of £££. Instructions/CD Software doesn't work. Drama getting help online. REFUND! https://t.co/tM9coNavye
Agent: @116249 Hi Tim, Did you purchase this in store or was it for home delivery? - Daniel

CURRENT MESSAGE:
@ArgosHelpers In store. I needed it urgently as I have to produce paperwork for a solicitor on Nov 1st.  So disappointed.",
2366,Customer,Morrisons,Support inquiry,@Morrisons Perth.,"CONVERSATION HISTORY:
Customer: @Morrisons love the new look cafe in my local store. Delightful veggie cajun burger but no brioche bun! 'Twas only a morning roll! https://t.co/kbZynuJ124
Agent: @116250 I'll pass on your feedback. - Kirsty

CURRENT MESSAGE:
@Morrisons Perth.",
2374,Customer,Morrisons,Support inquiry,@Morrisons 🎃🎃 https://t.co/biINVTmajm,"CONVERSATION HISTORY:
Customer: Another day another Halloween shop.. @Morrisons really stepped up. Love the diverse range of pumpkins! #Halloween #pumpkins #mumlife 🎃💀 https://t.co/FhavEp3NyK
Agent: @116251 Hi Carrie. Thanks for taking the time to share your feedback :~). Glad you like it-Tabby
Customer: @Morrisons No problem! It's my favourite time of year, and was awesome to see no pumpkin size/shape went to waste! :)
Agent: @116251 Do share any fun carvings you and the kids do. Hope you have a lovely weekend :~)-Tabby

CURRENT MESSAGE:
@Morrisons 🎃🎃 https://t.co/biINVTmajm",
2384,Customer,Walmart,Support inquiry,@Walmart oh my god you da best walmart,"CONVERSATION HISTORY:
Customer: we all know walmart is better in terms of a lot of things so I LOVE WALMART https://t.co/tr1DaXl3IU
Agent: @116256 We ❤️ you too, Angel. Thanks for having our back! -Pia

CURRENT MESSAGE:
@Walmart oh my god you da best walmart",
2389,Customer,Walmart,Support inquiry,"@Walmart No, a fellow associate did it for me.","CONVERSATION HISTORY:
Customer: Happy Halloween! Share a pic of your decorations or costume! Here's some pics of mine (overkill maybe?) https://t.co/X6hyMbBIo4 @176
Customer: @116258 @176 Gaara from anime ""Naruto"" https://t.co/vDtCbxUBEb
Customer: @116258 @176 Better one with the ""love"" symbol. Got to dress up at work. Thank you walmart lol https://t.co/IqQic9uT4g
Agent: @116257 Impressive, the ""love"" symbol looks awesome! Did you draw that? 👍 -Sabi

CURRENT MESSAGE:
@Walmart No, a fellow associate did it for me.",
2399,Customer,Walmart,Support inquiry,@Walmart The pumpkins will be enjoyed by many families this ,"CONVERSATION HISTORY:
Customer: Happy Halloween! Look at these pumpkins that were donated to us from the @Walmart Distribution Center! https://t.co/od6OAZocLy
Agent: @116262 Nothing but the best for the communities! We hope everyone is able to enjoy the pumpkins. Thanks for the shoutout! -Ami

CURRENT MESSAGE:
@Walmart The pumpkins will be enjoyed by many families this holiday season who might otherwise not have one. So thank you very much!",
2418,Customer,Uber_Support,Support inquiry,@Uber_Support I submitted an online request and expect a can,"CONVERSATION HISTORY:
Customer: Hey @116271 my scheduled ride canceled on me when he was 1 minute away. If I cancel I pay $5. I need a $5 credit.
Agent: @116270 Here to help! Follow up here; https://t.co/h840Iouehc and our team will connect right away.

CURRENT MESSAGE:
@Uber_Support I submitted an online request and expect a cancellation credit to my account as I would of had to pay. Thank you!",
2423,Customer,Uber_Support,Support inquiry,@Uber_Support Thank you for your response. Put in a request ,"CONVERSATION HISTORY:
Customer: @115877 just made a $35 ubereats order from @116273 and did not receive my burrito. Who should I contact?
Agent: @116272 We can definitely take a look! Send us a note via https://t.co/nFTc4ODH3P so we can assist.

CURRENT MESSAGE:
@Uber_Support Thank you for your response. Put in a request and am waiting for reply!",
2436,Customer,Uber_Support,Support inquiry,@Uber_Support Is there a way I can address a specific issue?,"CONVERSATION HISTORY:
Customer: Hi @Uber_Support I have a problem with a cancellation fee I was charged but the case fits none of the options. How can I report i this?
Agent: @116278 Here to help. Send us a note at https://t.co/QsI1vsvcif so our team can connect.

CURRENT MESSAGE:
@Uber_Support Is there a way I can address a specific issue? Though i already received compensation for that ride i reported, I'd like to mention it would've been avoided if the route to my location was plotted correctly. The map told him to pass through a route that had a dead end",
2441,Customer,Uber_Support,Support inquiry,@Uber_Support i’m 4 months away from being 21 and have drivi,"CONVERSATION HISTORY:
Customer: @115873 i’m only a few months away from 21. let me drive anyway
Agent: @116280 Here to help! For more info please visit;https://t.co/Xaf6cZMUVR.
Customer: @Uber_Support i’m already registered as a driver, lower the age requirement or let me bypass the rule please
Agent: @116280 Here to help! Contact us here;  https://t.co/uRjsQ64qLY so we can take a closer look.

CURRENT MESSAGE:
@Uber_Support i’m 4 months away from being 21 and have driving experience including delivery. i feel i should be able to drive now instead of waiting to be 21",
2447,Customer,Uber_Support,Support inquiry,"@Uber_Support Nah, I don't want in-app support you people ar","CONVERSATION HISTORY:
Customer: @116276 ANSWER ME, WHY IF I REPORT ANOTHER DRIVER WITH A GUN IN HI VEHICLE MY ACCOUNT GETS PUT ON HOLD????????
Agent: @116281 Sorry to hear about the trouble, Jasmany. We've escalated your concern - a member of our team will be in touch shortly via in-app. These type of issues are handled off social media. We apologize for any inconvenience this may have caused.
Customer: @Uber_Support That's a big lie otherwise my account would be up and running, stop lying, I'll make it public all the lies your guys have told me, been told it would only take 48 hours been waiting 5 DAYS
Agent: @116281 Hey there, Jasmany! We can see that a member of our team is looking into this for you. In an effort to enhance your support experience, and to avoid further confusion we'll be following up with any further questions or concerns you may have through in-app support.

CURRENT MESSAGE:
@Uber_Support Nah, I don't want in-app support you people are lying, get my app up and running NOW, I've been waiting for 5 days, you guys are lying, and closed my app cuz I reported another driver with a gun in his vehicles, I'm not stopping, next is facebook",
2452,Customer,Uber_Support,Support inquiry,@Uber_Support I already messaged you her email address. Not ,"CONVERSATION HISTORY:
Customer: @115873 @Uber_Support 
My wife account got charged w 2 uber eats orders we never placed.
Called help number,  and after 20 min hold, all we were told had to email uber help
Seriously?
Agent: @116282 We definitely want to take a closer look. However, due to our policy terms and conditions, we will need to discuss this with the account holder. Please message us with the email address associated with the account and we'll follow up with her directly via in-app support.

CURRENT MESSAGE:
@Uber_Support I already messaged you her email address. Not sure what you mean with in-app support, but do you realize you guys deactivated her account?",
2460,Customer,Uber_Support,Support inquiry,@Uber_Support I definitely did this to no avail - it kept de,"CONVERSATION HISTORY:
Customer: @Uber_Support; why do you make it impossible to arrange for a pick up at an FBO at an airport? I'm in the US and no matter what I do, the pick up location defaults to the terminal. I'm not at the the terminal. I'm at the FBO. You guys lost 3 rides tonight.
Agent: @116285 Hi, Eric. Kindly visit this link for more info; https://t.co/HULHsCQlaL

CURRENT MESSAGE:
@Uber_Support I definitely did this to no avail - it kept defaulting to the terminal.",
2474,Customer,Uber_Support,Support inquiry,@Uber_Support Already did weeks ago. Been answered to reboot,"CONVERSATION HISTORY:
Customer: @Uber_Support since the ParisGamesWeek your system dosnt work by paypal. F*** it i'm taking taxis.
Agent: @116290 Here to help. Send us a note at https://t.co/5MN4s6W3AA so our team can connect.
Customer: @Uber_Support Well paypal payment not working since the start of the week.
Agent: @116290 Here to help! Send us a DM with your email address so we can assist.

CURRENT MESSAGE:
@Uber_Support Already did weeks ago. Been answered to reboot/reinstall.",
2478,Customer,Uber_Support,Support inquiry,@Uber_Support I already tried this. It failed.,"CONVERSATION HISTORY:
Customer: When your @115873 driver accuses you of stealing his “hustle” money from his cup holder but then finds it under his seat and was rude and disrespectful &amp; denies you a refund...
Agent: @116291 Here to help! Send us a note at https://t.co/fS660rQ8NQ so our team can connect.

CURRENT MESSAGE:
@Uber_Support I already tried this. It failed.",
2491,Customer,GloCare,Support inquiry,@GloCare 08070635658,"CONVERSATION HISTORY:
Customer: @GloCare  a feast for glo collecting tat funds as if I don't know wat to do wit money please delete all unnecessary things I didnt subscribe
Agent: @116298 Good evening Solomon. May we have your cellphone number to run a check on your line? FA

CURRENT MESSAGE:
@GloCare 08070635658",
2502,Customer,Tesco,Support inquiry,@Tesco Well I have tried and they clearly said they can't as,"CONVERSATION HISTORY:
Customer: @Tesco hello i want to know recently I bough Ann online grocery order what some baby nappies in them as well but the nappies wouldn't even stay on the child for some reason one half box was like that and they were leaking so I called contact centre and they said they can't do nth
Agent: @116301 In this case, we'd recommend trying a smaller size to see if that helps. I'm also sorry to learn of the leaking, can I just check that you're referring to the absorbency gel please? Can you DM your full name, address &amp; email please? 2/2
Customer: @Tesco Thanks this was an online order and I don't know why but all yh nappies were like this and I have been using this for over 9 months and never has this issue
Agent: @116301 Hi Mohammed, I'd advise returning the product returning the Nappies with your delivery documents to your nearest Metro,Superstore or Extra. My colleagues there will be able to assist further. Ty - James

CURRENT MESSAGE:
@Tesco Well I have tried and they clearly said they can't as I opened the box",
2531,Customer,Tesco,Support inquiry,"@116304 @Tesco @116302 Tesco said to me when i asked, only c","CONVERSATION HISTORY:
Customer: So @tesco when you say 'early hours' for the delivery saver Christmas slots, just how early please, lunch in the Ashes, or first drinks break? Cheers.
Customer: @116302 @Tesco midnight apparently!
Customer: @116303 @Tesco Really, OK ta.
Agent: @116302 @116303 Hi Benny, sorry for the delay in replying! They're available now for our Delivery Saver customers :) Thanks - Emma
Customer: @Tesco @116302 @116303 They only seem to have released 23rd?! Furious!! 😡

CURRENT MESSAGE:
@116304 @Tesco @116302 Tesco said to me when i asked, only customers in our Fulfillment Centres can get Christmas Eve slots (London mainly)",
2540,Customer,AmazonHelp,Support inquiry,@AmazonHelp 先日教えていただいたように、fireTVstickとルーターの両方を再起動してみたら、前回のよう,"CONVERSATION HISTORY:
Customer: 「#72時間ホンネテレビ」をFire TV Stickで観よう。11/2 21時からAbemaTVで生放送。Fire TV Stickなら、大画面で楽しめます。Prime Nowにて、500円OFFキャンペーン実施中(エリア限定)。https://t.co/B8u1j1MVBu https://t.co/guqfbltFj1
Customer: @116313 fire TV stickを購入したのですが一瞬しかうつりません.°(ಗдಗ。)°.どうしたらいいのでしょうか...
Agent: @116312 アマゾンです。お困りの状況が特定できないのですが、エラーメッセージや画面の状況、操作方法など詳しい状況を教えていただけますか。ご利用端末はテレビですかPS4などのゲーム機でしょうか。ET
Customer: @AmazonHelp ありがとうございます！
テレビにstickを接続しているのですが、WiFi接続がすぐに切れてしまい、数分しか見ることができません。
Agent: @116312 かしこまりました。端末、ルーター、モデムを再起動し改善するかお試しください。https://t.co/mUMGYDqPEM
改善しない場合、カスタマーサービスにお知らせください。https://t.co/NtNAX37Sr4 ET https://t.co/kp0Ug6rMsZ
Customer: @AmazonHelp ご丁寧にありがとうございます！トライしてみて改善されなければCSへご連絡します。返信いただけると思っていなかったので本当に嬉しいです！
Agent: @116312 こちらこそリプライいただきありがとうございます！ご様子を見ていただき、改善されない場合、お早目にカスタマーサービスにご連絡いただければと存じます。よろしくお願いいたします m(_ _)m HM

CURRENT MESSAGE:
@AmazonHelp 先日教えていただいたように、fireTVstickとルーターの両方を再起動してみたら、前回のようには途切れなくなりました！ありがとうございます😊今の所大丈夫ですが、あとは72時間TV当日に接続が切れてしまわないように祈るのみです...。
お礼と報告まで。 https://t.co/hS5VmxuIfX",
